auto_id,identifier,batch_number,last_update,L,SIQ1,SIQ1a,SIQ2,SIQ3,SIQ4_cb_1,SIQ4_cb_2,SIQ4_cb_3,SIQ4_cb_4,SIQ4_cb_5,SIQ4_cb_6,SIQ4_cb_7,SIQ4_cb_8,SIQ4_cb_9_other,SIQ4_cb_9,SIQ4_cb_254,SIQ5_a,SIQ5_b,SIQ5_c,SIQ5_d,SIQ5_e,SIQ6,SIQ7,SIQ7a,SIQ7b,SIQ8_cb_1,SIQ8_cb_2,SIQ8_cb_3,SIQ8_cb_4,SIQ8_cb_5,SIQ8_cb_6,SIQ8_cb_7,SIQ8_cb_8_other,SIQ8_cb_8,SIQ8_cb_255,SIQ9_a,SIQ9_b,SIQ9_c,SIQ9_d,SIQ9_e,SIQ9_f,SIQ9_g,SIQ9_h,SIQ9_i,SIQ9_j_other,SIQ9_j,SIQ9_k,SIQ10_cb_1,SIQ10_cb_2,SIQ10_cb_3,SIQ10_cb_4,SIQ10_cb_5,SIQ10_cb_6,SIQ10_cb_7_other,SIQ10_cb_7,SIQ11,SIQ12a_cb_1,SIQ12a_cb_2,SIQ12a_cb_3,SIQ12a_cb_4,SIQ12a_cb_5,SIQ12a_cb_6_other,SIQ12a_cb_6,SIQ12b_cb_1,SIQ12b_cb_2,SIQ12b_cb_3,SIQ12b_cb_4,SIQ12b_cb_6_other,SIQ12b_cb_6,SIQ13a_a_1,SIQ13a_a_2,SIQ13a_a_3,SIQ13a_b_1,SIQ13a_b_2,SIQ13a_b_3,SIQ13a_c_1,SIQ13a_c_2,SIQ13a_c_3,SIQ13a_d_1,SIQ13a_d_2,SIQ13a_d_3,SIQ13a_e_1,SIQ13a_e_2,SIQ13a_e_3,SIQ13b_a_1,SIQ13b_a_2,SIQ13b_a_3,SIQ13b_b_1,SIQ13b_b_2,SIQ13b_b_3,SIQ13b_c_1,SIQ13b_c_2,SIQ13b_c_3,SIQ13b_d_1,SIQ13b_d_2,SIQ13b_d_3,SIQ13b_e_1,SIQ13b_e_2,SIQ13b_e_3,SIQ13c_a_1,SIQ13c_a_2,SIQ13c_a_3,SIQ13d_a_1,SIQ13d_a_2,SIQ13d_a_3,SIQ13d_b_1,SIQ13d_b_2,SIQ13d_b_3,SIQ13d_c_1,SIQ13d_c_2,SIQ13d_c_3,SIQ13e_a_1,SIQ13e_a_2,SIQ13e_a_3,SIQ13e_b_1,SIQ13e_b_2,SIQ13e_b_3,SIQ13e_c_1,SIQ13e_c_2,SIQ13e_c_3,SIQ13e_d_1,SIQ13e_d_2,SIQ13e_d_3,SIQ13e_e_1,SIQ13e_e_2,SIQ13e_e_3,SIQ14_a_1,SIQ14_a_2,SIQ14_a_3,SIQ14_a_4,SIQ14_a_5,SIQ14_b_1,SIQ14_b_2,SIQ14_b_3,SIQ14_b_4,SIQ14_b_5,SIQ14_c_1,SIQ14_c_2,SIQ14_c_3,SIQ14_c_4,SIQ14_c_5,SIQ14_d_1,SIQ14_d_2,SIQ14_d_3,SIQ14_d_4,SIQ14_d_5,SIQ14_e_1,SIQ14_e_2,SIQ14_e_3,SIQ14_e_4,SIQ14_e_5,SIQ15,SIQ16,SIQ17,SIQ17_6_other,SIQ17a,SIQ17b,SIQ17c,auto_id,identifier,selected,received,address1,address2,city,state,zip,pw_assigned,answers_added,saved,language,status,initial_login,last_update,IP_address,batch_number,
"218","test217","181109","2018-11-13 09:43:32","1","1","9999","1","1","1","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","1","1","1","NULL","1","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","1","1","0","0","0","0","","0","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","2","9999","218","test217","0","0","1450 Main Street","Apt 217","Columbus","OH","48327","1","1","40","1","finished","NULL","2018-11-13 09:43:32","NULL","181109",
"217","test216","181109","2018-11-13 09:44:32","1","1","9999","1","1","1","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","1","1","1","NULL","1","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","1","1","0","0","0","0","","0","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","9999","217","test216","1","0","1449 Main Street","Apt 216","Columbus","OH","48326","1","1","40","1","finished","NULL","2018-11-13 09:44:32","NULL","181109",
"16","test015","181109","2018-11-13 10:06:26","1","1","9999","2","2","0","0","0","0","0","0","0","0","","0","254","0","1","0","1","0","1","2","35.00","35.00","1","2","3","4","5","6","7","","0","0","1","0","0","1","0","1","0","1","0","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","0","0","0","0","0","0","","0","0","0","0","0","","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","8","na","8","55.00","55.00","2","55.00","2","120","120","2","120","2","125","125","2","125","2","135","135","2","135","2","0","0","4","","9999","9999","9999","16","test015","0","0","1248 Main Street","Apt 15b","Columbus","OH","48125","1","1","40","1","finished","NULL","2018-11-13 10:06:26","NULL","181109",
"211","test210","181109","2018-11-13 10:08:50","1","1","9999","9999","9999","1","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","1","1","1","NULL","1","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","1","1","0","0","0","0","","0","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9999","9999","3","","9999","9999","5","211","test210","0","0","1443 Main Street","Apt 210c","Columbus","OH","48320","1","1","28","1","finished","NULL","2018-11-13 10:08:50","NULL","181109",
"214","test213","181109","2018-11-13 10:09:50","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","1","5","9999","214","test213","1","0","1446 Main Street","Apt 213","Columbus","OH","48323","1","1","40","1","finished","NULL","2018-11-13 10:09:50","NULL","181109",
"17","test016","181109","2018-11-13 10:12:24","1","1","9999","1","1","1","2","3","4","5","6","7","8","","0","0","1","0","1","0","1","1","2","NULL","36.00","1","2","3","4","5","6","7","","0","0","0","1","0","1","0","1","0","1","0","","1","0","1","2","3","4","5","6","","0","0","0","0","0","0","5","","0","0","0","3","0","","0","45","45","45","450","552","641","154","415","154","1","1421","5014","14","215","25154","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","0","0","0","0","225","555","55","515","14","414","0","0","0","151","512","445","114","24145","11","21","2145","2412","152","15","21","23","23","1","213","2","26","23","1","12","2","121","122","1","512","1","332","232","2","232","2","326","32","1","323","1","1","0","2","","9999","9999","9999","17","test016","0","0","1249 Main Street","Apt 16","Columbus","OH","48126","1","1","40","1","finished","NULL","2018-11-13 10:12:24","NULL","181109",
"241","test240","181109","2018-11-13 10:21:03","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","1","3","9999","241","test240","0","0","1473 Main Street","Apt 240b","Columbus","OH","48350","1","1","40","1","finished","NULL","2018-11-13 10:21:03","NULL","181109",
"242","test241","181109","2018-11-13 10:21:16","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","4","3","9999","242","test241","1","0","1474 Main Street","Apt 241","Columbus","OH","48351","1","1","40","1","finished","NULL","2018-11-13 10:21:16","NULL","181109",
"18","test017","181109","2018-11-13 10:48:21","1","1","9999","1","1","0","0","0","0","0","0","0","0","","0","254","1","0","1","0","1","1","0","35.00","35.00","0","0","0","0","0","0","0","","0","255","0","1","1","1","1","0","0","0","1","","9999","0","0","0","0","0","0","0","","7","0","0","0","0","0","0","","0","0","0","0","0","","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","55","1","55","1","55","55","1","55","1","112","na","1","112","2","112","na","2","1123","2","125","na","2","122","3","1","1","1","","1","5","9999","18","test017","0","0","1250 Main Street","Apt 17c","Columbus","OH","48127","1","1","40","1","finished","NULL","2018-11-13 10:48:21","NULL","181109",
"243","test242","181109","2018-11-13 12:01:03","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","5","3","9999","243","test242","0","0","1475 Main Street","Apt 242c","Columbus","OH","48352","1","1","40","1","finished","NULL","2018-11-13 12:01:03","NULL","181109",
"244","test243","181109","2018-11-13 12:01:17","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","3","3","9999","244","test243","1","0","1476 Main Street","Apt 243","Columbus","OH","48353","1","1","40","1","finished","NULL","2018-11-13 12:01:17","NULL","181109",
